RecordType	TableSchema	TableName	ColumnName	Type	Length	Prec	Scale	Nullable	IsIdentity	IndexName	IndexType	KeyOrdinal	IsIncluded	IsPrimaryKey	IsUnique
COL	APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	YES						
COL	APP	CENTRO_CUSTO	NOME	varchar	20	0	0	NO	NO						
COL	APP	CENTRO_CUSTO	DESCRICAO	varchar	100	0	0	NO	NO						
COL	APP	CENTRO_CUSTO	BL_STATUS	bit	1	1	0	NO	NO						
IDX	APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	NO	PK_CENTRO_CUSTO	CLUSTERED	1	NO	YES	YES
COL	dbo	EXEMPLO_TINYINT	ID	tinyint	1	3	0	NO	NO						
COL	dbo	EXEMPLO_TINYINT	CODIGO	varchar	10	0	0	YES	NO						
COL	dbo	EXEMPLO_TINYINT	OBS	nvarchar	50	0	0	YES	NO						
IDX	dbo	EXEMPLO_TINYINT	ID	tinyint	1	3	0	NO	NO	PK_EXEMPLO_TINYINT	CLUSTERED	1	NO	YES	YES
IDX	dbo	EXEMPLO_TINYINT	CODIGO	varchar	10	0	0	YES	NO	IX_EXEMPLO_CODIGO	NONCLUSTERED	1	NO	NO	NO
