RecordType	TableSchema	TableName	ColumnName	Type	Length	Prec	Scale	Nullable	IsIdentity	IndexName	IndexType	KeyOrdinal	IsIncluded	IsPrimaryKey	IsUnique
COL	APP	CENTRO_CUSTO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	YES						
COL	APP	CENTRO_CUSTO	DESCRICAO	varchar	100	0	0	NO	NO						
COL	APP	CENTRO_CUSTO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	CENTRO_CUSTO	NOME	varchar	20	0	0	NO	NO						
IDX	APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	NO	PK_APP_CENTRO_CUSTO	CLUSTERED	1	NO	YES	YES
COL	APP	CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	YES						
COL	APP	CHECKLIST	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	CHECKLIST	CD_USUARIO	smallint	2	5	0	YES	NO						
COL	APP	CHECKLIST	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	CHECKLIST	NOME	varchar	100	0	0	NO	NO						
IDX	APP	CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	NO	PK_APP_CHECKLIST	CLUSTERED	1	NO	YES	YES
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_PERGUNTA	smallint	2	5	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO	smallint	2	5	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO_PERGUNTAS	smallint	2	5	0	NO	YES						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_USUARIO	smallint	2	5	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	ORDEM	tinyint	1	3	0	YES	NO						
IDX	APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO_PERGUNTAS	smallint	2	5	0	NO	NO	PK_APP_CHECKLIST_SECAO_PERGUNTAS	CLUSTERED	1	NO	YES	YES
COL	APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST_TIPO_RECURSO	smallint	2	5	0	NO	YES						
COL	APP	CHECKLIST_TIPO_RECURSO	CD_TIPO_RECURSO	smallint	2	5	0	NO	NO						
COL	APP	CHECKLIST_TIPO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
IDX	APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST_TIPO_RECURSO	smallint	2	5	0	NO	NO	PK_APP_CHECKLIST_TIPO_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	FUNCAO	BL_MOTORISTA	bit	1	1	0	NO	NO						
COL	APP	FUNCAO	BL_RENDICAO	bit	1	1	0	NO	NO						
COL	APP	FUNCAO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	FUNCAO	CD_FUNCAO	smallint	2	5	0	NO	YES						
COL	APP	FUNCAO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	FUNCAO	NOME	varchar	100	0	0	NO	NO						
IDX	APP	FUNCAO	CD_FUNCAO	smallint	2	5	0	NO	NO	PK_APP_FUNCAO	CLUSTERED	1	NO	YES	YES
COL	APP	FUNCIONARIO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	FUNCIONARIO	CD_CENTRO_CUSTO	smallint	2	5	0	YES	NO						
COL	APP	FUNCIONARIO	CD_CONCESSAO	tinyint	1	3	0	YES	NO						
COL	APP	FUNCIONARIO	CD_FUNCAO	smallint	2	5	0	YES	NO						
COL	APP	FUNCIONARIO	CD_FUNCIONARIO	smallint	2	5	0	NO	YES						
COL	APP	FUNCIONARIO	CD_USUARIO	smallint	2	5	0	YES	NO						
COL	APP	FUNCIONARIO	DATA_ADMISSAO	date	3	10	0	YES	NO						
COL	APP	FUNCIONARIO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	FUNCIONARIO	MATRICULA	varchar	20	0	0	YES	NO						
COL	APP	FUNCIONARIO	NOME	varchar	200	0	0	NO	NO						
COL	APP	FUNCIONARIO	RESPONSAVEL	varchar	200	0	0	YES	NO						
IDX	APP	FUNCIONARIO	CD_FUNCIONARIO	smallint	2	5	0	NO	NO	PK_APP_FUNCIONARIO	CLUSTERED	1	NO	YES	YES
COL	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO	int	4	10	0	NO	NO						
COL	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO_USUARIO	int	4	10	0	NO	YES						
COL	APP	FUNCIONARIO_USUARIO	CD_USUARIO	smallint	2	5	0	NO	NO						
COL	APP	FUNCIONARIO_USUARIO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
IDX	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO	int	4	10	0	NO	NO	PK_APP_FUNCIONARIO_USUARIO_IDONLY	CLUSTERED	1	NO	YES	YES
IDX	APP	FUNCIONARIO_USUARIO	CD_USUARIO	smallint	2	5	0	NO	NO	PK_APP_FUNCIONARIO_USUARIO_IDONLY	CLUSTERED	2	NO	YES	YES
COL	APP	PERGUNTA	CD_PERGUNTA	smallint	2	5	0	NO	YES						
COL	APP	PERGUNTA	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	PERGUNTA	CD_USUARIO	smallint	2	5	0	YES	NO						
COL	APP	PERGUNTA	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	PERGUNTA	NOME	varchar	100	0	0	NO	NO						
IDX	APP	PERGUNTA	CD_PERGUNTA	smallint	2	5	0	NO	NO	PK_APP_PERGUNTA	CLUSTERED	1	NO	YES	YES
COL	APP	RESPOSTA	CD_PERGUNTA	smallint	2	5	0	YES	NO						
COL	APP	RESPOSTA	CD_RESPOSTA	smallint	2	5	0	NO	YES						
COL	APP	RESPOSTA	CD_RESPOSTA_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	RESPOSTA	CD_SECAO	smallint	2	5	0	YES	NO						
COL	APP	RESPOSTA	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	RESPOSTA	RESPOSTA	varchar	100	0	0	YES	NO						
IDX	APP	RESPOSTA	CD_RESPOSTA	smallint	2	5	0	NO	NO	PK_APP_RESPOSTA	CLUSTERED	1	NO	YES	YES
COL	APP	RESPOSTA_CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_RECURSO	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_RECURSO_ATIVIDADE	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_RESPOSTA_CHECKLIST	smallint	2	5	0	NO	YES						
COL	APP	RESPOSTA_CHECKLIST	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_USUARIO	smallint	2	5	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_USUARIO_MANIPULADOR	smallint	2	5	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	DATA_APP	datetime	8	23	3	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	DH_TIMESTAMP_ATUALIZACAO	datetime	8	23	3	YES	NO						
IDX	APP	RESPOSTA_CHECKLIST	CD_RESPOSTA_CHECKLIST	smallint	2	5	0	NO	NO	PK_APP_RESPOSTA_CHECKLIST	CLUSTERED	1	NO	YES	YES
COL	APP	SECAO	CD_SECAO	smallint	2	5	0	NO	YES						
COL	APP	SECAO	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	SECAO	CD_USUARIO	smallint	2	5	0	YES	NO						
COL	APP	SECAO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	SECAO	NOME	varchar	100	0	0	NO	NO						
IDX	APP	SECAO	CD_SECAO	smallint	2	5	0	NO	NO	PK_APP_SECAO	CLUSTERED	1	NO	YES	YES
COL	APP	SERIAL	BL_AUTORIZADO	bit	1	1	0	NO	NO						
COL	APP	SERIAL	CD_SERIAL	smallint	2	5	0	NO	YES						
COL	APP	SERIAL	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	SERIAL	CD_USUARIO_CRIACAO	smallint	2	5	0	NO	NO						
COL	APP	SERIAL	CD_USUARIO_EXCLUSAO	smallint	2	5	0	YES	NO						
COL	APP	SERIAL	DATA_CRIACAO	datetime	8	23	3	NO	NO						
COL	APP	SERIAL	DATA_EXCLUSAO	datetime	8	23	3	YES	NO						
COL	APP	SERIAL	DATA_FIM	datetime2	8	27	7	NO	NO						
COL	APP	SERIAL	DATA_INICIO	datetime2	8	27	7	NO	NO						
COL	APP	SERIAL	NOME	varchar	100	0	0	NO	NO						
COL	APP	SERIAL	SERIAL	varchar	100	0	0	NO	NO						
IDX	APP	SERIAL	CD_SERIAL	smallint	2	5	0	NO	NO	PK_APP_SERIAL	CLUSTERED	1	NO	YES	YES
COL	APP	SERIAL_RECURSO	CD_RECURSO	int	4	10	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_SERIAL	smallint	2	5	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_SERIAL_RECURSO	int	4	10	0	NO	YES						
COL	APP	SERIAL_RECURSO	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	SERIAL_RECURSO	CD_USUARIO_CRIACAO	smallint	2	5	0	NO	NO						
COL	APP	SERIAL_RECURSO	DATA_CRIACAO	datetime	8	23	3	NO	NO						
IDX	APP	SERIAL_RECURSO	CD_SERIAL_RECURSO	int	4	10	0	NO	NO	PK_APP_SERIAL_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	SOLICITACAO_RECURSO	ATIVIDADE	varchar	20	0	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_BASE_OPERACIONAL	smallint	2	5	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_CONCESSAO	tinyint	1	3	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_FUNCIONARIO_2	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_FUNCIONARIO_3	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_FUNCIONARIO_MOTORISTA	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_RECURSO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_RECURSO_ATIVIDADE	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_REDE	smallint	2	5	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_ROTA	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_SOLICITACAO_RECURSO	int	4	10	0	NO	YES						
COL	APP	SOLICITACAO_RECURSO	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	CD_TIPO_STATUS_SOLICITACAO	tinyint	1	3	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	CD_USUARIO	smallint	2	5	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO	DH_ATUALIZACAO	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO	DH_FIM_ATIVIDADE	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO	DH_INICIO_ATIVIDADE	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	SOLICITACAO_RECURSO	HODOMETRO_FINAL	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO	HODOMETRO_INICIAL	int	4	10	0	YES	NO						
IDX	APP	SOLICITACAO_RECURSO	CD_SOLICITACAO_RECURSO	int	4	10	0	NO	NO	PK_APP_SOLICITACAO_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	SOLICITACAO_RECURSO_PARADA	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_BASE_OPERACIONAL	smallint	2	5	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_CONCESSAO	tinyint	1	3	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_FUNCIONARIO	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_RECURSO	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_RECURSO_PARADA	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_RODOVIA	smallint	2	5	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_SOLICITACAO_RECURSO_PARADA	int	4	10	0	NO	YES						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_TIPO_PARADA	int	4	10	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_TIPO_STATUS_SOLICITACAO	tinyint	1	3	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	CD_USUARIO	smallint	2	5	0	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_ATUALIZACAO	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_FIM_PARADA	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_INICIO_PARADA	datetime	8	23	3	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_PREVISTA	datetime	8	23	3	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	KM	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	LATITUDE	decimal	5	9	6	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	LONGITUDE	decimal	5	9	6	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	METRO	int	4	10	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	OBSERVACAO	varchar	200	0	0	YES	NO						
COL	APP	SOLICITACAO_RECURSO_PARADA	TEMPO_PARADA	int	4	10	0	YES	NO						
IDX	APP	SOLICITACAO_RECURSO_PARADA	CD_SOLICITACAO_RECURSO_PARADA	int	4	10	0	NO	NO	PK_APP_SOLICITACAO_RECURSO_PARADA	CLUSTERED	1	NO	YES	YES
COL	APP	TIPO_SOLICITACAO_RECURSO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	TIPO_SOLICITACAO_RECURSO	CD_TIPO_SOLICITACAO_RECURSO	smallint	2	5	0	NO	YES						
COL	APP	TIPO_SOLICITACAO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	TIPO_SOLICITACAO_RECURSO	NOME	varchar	200	0	0	NO	NO						
