RecordType	TableSchema	TableName	ColumnName	Type	Length	Prec	Scale	Nullable	IsIdentity	IndexName	IndexType	KeyOrdinal	IsIncluded	IsPrimaryKey	IsUnique
COL	APP	CENTRO_CUSTO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	CENTRO_CUSTO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	YES						
COL	APP	CENTRO_CUSTO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	CENTRO_CUSTO	DESCRICAO	varchar	100	0	0	NO	NO						
COL	APP	CENTRO_CUSTO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	CENTRO_CUSTO	NOME	varchar	20	0	0	NO	NO						
IDX	APP	CENTRO_CUSTO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_CENTRO_CUSTO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	CENTRO_CUSTO	CD_AGENCIA	int	4	10	0	YES	NO	IX_CENTRO_CUSTO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	NO	PK_APP_CENTRO_CUSTO	CLUSTERED	1	NO	YES	YES
COL	APP	CHECKLIST	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	YES						
COL	APP	CHECKLIST	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	CHECKLIST	CD_STATUS	bit	1	1	0	YES	NO						
COL	APP	CHECKLIST	CD_USUARIO	int	4	10	0	YES	NO						
COL	APP	CHECKLIST	DH_TIMESTAMP	datetime	8	23	3	YES	NO						
COL	APP	CHECKLIST	NOME	varchar	100	0	0	NO	NO						
IDX	APP	CHECKLIST	CD_CONCESSAO	int	4	10	0	NO	NO	IX_CHECKLIST_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	CHECKLIST	CD_AGENCIA	int	4	10	0	YES	NO	IX_CHECKLIST_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	NO	PK_APP_CHECKLIST	CLUSTERED	1	NO	YES	YES
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_PERGUNTA	smallint	2	5	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO	smallint	2	5	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO_PERGUNTAS	smallint	2	5	0	NO	YES						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_STATUS	bit	1	1	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	CD_USUARIO	int	4	10	0	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	DH_TIMESTAMP	datetime	8	23	3	YES	NO						
COL	APP	CHECKLIST_SECAO_PERGUNTAS	ORDEM	tinyint	1	3	0	YES	NO						
IDX	APP	CHECKLIST_SECAO_PERGUNTAS	CD_CONCESSAO	int	4	10	0	NO	NO	IX_CHECKLIST_SECAO_PERGUNTAS_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	CHECKLIST_SECAO_PERGUNTAS	CD_AGENCIA	int	4	10	0	YES	NO	IX_CHECKLIST_SECAO_PERGUNTAS_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO_PERGUNTAS	smallint	2	5	0	NO	NO	PK_APP_CHECKLIST_SECAO_PERGUNTAS	CLUSTERED	1	NO	YES	YES
COL	APP	CHECKLIST_TIPO_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST_TIPO_RECURSO	smallint	2	5	0	NO	YES						
COL	APP	CHECKLIST_TIPO_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	CHECKLIST_TIPO_RECURSO	CD_TIPO_RECURSO	int	4	10	0	YES	NO						
COL	APP	CHECKLIST_TIPO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	YES	NO						
IDX	APP	CHECKLIST_TIPO_RECURSO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_CHECKLIST_TIPO_RECURSO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	CHECKLIST_TIPO_RECURSO	CD_AGENCIA	int	4	10	0	YES	NO	IX_CHECKLIST_TIPO_RECURSO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST_TIPO_RECURSO	smallint	2	5	0	NO	NO	PK_APP_CHECKLIST_TIPO_RECURSO	CLUSTERED	1	NO	YES	YES
COL	APP	FUNCAO	BL_MOTORISTA	bit	1	1	0	NO	NO						
COL	APP	FUNCAO	BL_RENDICAO	bit	1	1	0	NO	NO						
COL	APP	FUNCAO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	FUNCAO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	FUNCAO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	FUNCAO	CD_FUNCAO	smallint	2	5	0	NO	YES						
COL	APP	FUNCAO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	FUNCAO	NOME	varchar	100	0	0	NO	NO						
IDX	APP	FUNCAO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_FUNCAO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	FUNCAO	CD_AGENCIA	int	4	10	0	YES	NO	IX_FUNCAO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	FUNCAO	CD_FUNCAO	smallint	2	5	0	NO	NO	PK_APP_FUNCAO	CLUSTERED	1	NO	YES	YES
COL	APP	FUNCIONARIO	BL_STATUS	bit	1	1	0	NO	NO						
COL	APP	FUNCIONARIO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	FUNCIONARIO	CD_CENTRO_CUSTO	smallint	2	5	0	YES	NO						
COL	APP	FUNCIONARIO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	FUNCIONARIO	CD_FUNCAO	smallint	2	5	0	YES	NO						
COL	APP	FUNCIONARIO	CD_FUNCIONARIO	smallint	2	5	0	NO	YES						
COL	APP	FUNCIONARIO	CD_USUARIO	int	4	10	0	YES	NO						
COL	APP	FUNCIONARIO	DATA_ADMISSAO	date	3	10	0	YES	NO						
COL	APP	FUNCIONARIO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
COL	APP	FUNCIONARIO	MATRICULA	varchar	20	0	0	YES	NO						
COL	APP	FUNCIONARIO	NOME	varchar	200	0	0	NO	NO						
COL	APP	FUNCIONARIO	RESPONSAVEL	varchar	200	0	0	YES	NO						
IDX	APP	FUNCIONARIO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_FUNCIONARIO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	FUNCIONARIO	CD_AGENCIA	int	4	10	0	YES	NO	IX_FUNCIONARIO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	FUNCIONARIO	CD_FUNCIONARIO	smallint	2	5	0	NO	NO	PK_APP_FUNCIONARIO	CLUSTERED	1	NO	YES	YES
COL	APP	FUNCIONARIO_USUARIO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	FUNCIONARIO_USUARIO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO	int	4	10	0	NO	NO						
COL	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO_USUARIO	int	4	10	0	NO	YES						
COL	APP	FUNCIONARIO_USUARIO	CD_USUARIO	int	4	10	0	NO	NO						
COL	APP	FUNCIONARIO_USUARIO	DH_TIMESTAMP	datetime	8	23	3	NO	NO						
IDX	APP	FUNCIONARIO_USUARIO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_FUNCIONARIO_USUARIO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	FUNCIONARIO_USUARIO	CD_AGENCIA	int	4	10	0	YES	NO	IX_FUNCIONARIO_USUARIO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO	int	4	10	0	NO	NO	PK_APP_FUNCIONARIO_USUARIO_IDONLY	CLUSTERED	1	NO	YES	YES
IDX	APP	FUNCIONARIO_USUARIO	CD_USUARIO	int	4	10	0	NO	NO	PK_APP_FUNCIONARIO_USUARIO_IDONLY	CLUSTERED	2	NO	YES	YES
IDX	APP	FUNCIONARIO_USUARIO	CD_CONCESSAO	int	4	10	0	NO	NO	UQ_FUNCIONARIO_USUARIO_LEGACY_TENANT	NONCLUSTERED	1	NO	NO	YES
IDX	APP	FUNCIONARIO_USUARIO	CD_FUNCIONARIO	int	4	10	0	NO	NO	UQ_FUNCIONARIO_USUARIO_LEGACY_TENANT	NONCLUSTERED	2	NO	NO	YES
IDX	APP	FUNCIONARIO_USUARIO	CD_USUARIO	int	4	10	0	NO	NO	UQ_FUNCIONARIO_USUARIO_LEGACY_TENANT	NONCLUSTERED	3	NO	NO	YES
COL	APP	PERGUNTA	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	PERGUNTA	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	PERGUNTA	CD_PERGUNTA	smallint	2	5	0	NO	YES						
COL	APP	PERGUNTA	CD_STATUS	bit	1	1	0	YES	NO						
COL	APP	PERGUNTA	CD_USUARIO	int	4	10	0	YES	NO						
COL	APP	PERGUNTA	DH_TIMESTAMP	datetime	8	23	3	YES	NO						
COL	APP	PERGUNTA	NOME	varchar	100	0	0	NO	NO						
IDX	APP	PERGUNTA	CD_CONCESSAO	int	4	10	0	NO	NO	IX_PERGUNTA_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	PERGUNTA	CD_AGENCIA	int	4	10	0	YES	NO	IX_PERGUNTA_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	PERGUNTA	CD_PERGUNTA	smallint	2	5	0	NO	NO	PK_APP_PERGUNTA	CLUSTERED	1	NO	YES	YES
COL	APP	RESPOSTA	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	RESPOSTA	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	RESPOSTA	CD_PERGUNTA	smallint	2	5	0	YES	NO						
COL	APP	RESPOSTA	CD_RESPOSTA	int	4	10	0	NO	YES						
COL	APP	RESPOSTA	CD_RESPOSTA_CHECKLIST	int	4	10	0	NO	NO						
COL	APP	RESPOSTA	CD_SECAO	smallint	2	5	0	YES	NO						
COL	APP	RESPOSTA	CD_STATUS	bit	1	1	0	YES	NO						
COL	APP	RESPOSTA	RESPOSTA	varchar	100	0	0	YES	NO						
IDX	APP	RESPOSTA	CD_CONCESSAO	int	4	10	0	NO	NO	IX_RESPOSTA_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	RESPOSTA	CD_AGENCIA	int	4	10	0	YES	NO	IX_RESPOSTA_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	RESPOSTA	CD_RESPOSTA	int	4	10	0	NO	NO	PK_APP_RESPOSTA	CLUSTERED	1	NO	YES	YES
COL	APP	RESPOSTA_CHECKLIST	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_RECURSO	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_RECURSO_ATIVIDADE	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_RESPOSTA_CHECKLIST	int	4	10	0	NO	YES						
COL	APP	RESPOSTA_CHECKLIST	CD_STATUS	bit	1	1	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_USUARIO	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	CD_USUARIO_MANIPULADOR	int	4	10	0	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	DATA_APP	datetime	8	23	3	NO	NO						
COL	APP	RESPOSTA_CHECKLIST	DH_TIMESTAMP	datetime	8	23	3	YES	NO						
COL	APP	RESPOSTA_CHECKLIST	DH_TIMESTAMP_ATUALIZACAO	datetime	8	23	3	YES	NO						
IDX	APP	RESPOSTA_CHECKLIST	CD_CONCESSAO	int	4	10	0	NO	NO	IX_RESPOSTA_CHECKLIST_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	RESPOSTA_CHECKLIST	CD_AGENCIA	int	4	10	0	YES	NO	IX_RESPOSTA_CHECKLIST_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	RESPOSTA_CHECKLIST	CD_RESPOSTA_CHECKLIST	int	4	10	0	NO	NO	PK_APP_RESPOSTA_CHECKLIST	CLUSTERED	1	NO	YES	YES
COL	APP	SECAO	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	SECAO	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	SECAO	CD_SECAO	smallint	2	5	0	NO	YES						
COL	APP	SECAO	CD_STATUS	bit	1	1	0	YES	NO						
COL	APP	SECAO	CD_USUARIO	int	4	10	0	YES	NO						
COL	APP	SECAO	DH_TIMESTAMP	datetime	8	23	3	YES	NO						
COL	APP	SECAO	NOME	varchar	100	0	0	YES	NO						
IDX	APP	SECAO	CD_CONCESSAO	int	4	10	0	NO	NO	IX_SECAO_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SECAO	CD_AGENCIA	int	4	10	0	YES	NO	IX_SECAO_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	SECAO	CD_SECAO	smallint	2	5	0	NO	NO	PK_APP_SECAO	CLUSTERED	1	NO	YES	YES
COL	APP	SERIAL	BL_AUTORIZADO	bit	1	1	0	NO	NO						
COL	APP	SERIAL	CD_AGENCIA	int	4	10	0	YES	NO						
COL	APP	SERIAL	CD_CONCESSAO	int	4	10	0	NO	NO						
COL	APP	SERIAL	CD_SERIAL	int	4	10	0	NO	YES						
COL	APP	SERIAL	CD_STATUS	bit	1	1	0	NO	NO						
COL	APP	SERIAL	CD_USUARIO_CRIACAO	int	4	10	0	NO	NO						
COL	APP	SERIAL	CD_USUARIO_EXCLUSAO	int	4	10	0	YES	NO						
COL	APP	SERIAL	DATA_CRIACAO	datetime	8	23	3	NO	NO						
COL	APP	SERIAL	DATA_EXCLUSAO	datetime	8	23	3	YES	NO						
COL	APP	SERIAL	DATA_FIM	datetime2	8	27	7	NO	NO						
COL	APP	SERIAL	DATA_INICIO	datetime2	8	27	7	NO	NO						
COL	APP	SERIAL	NOME	varchar	100	0	0	NO	NO						
COL	APP	SERIAL	SERIAL	varchar	200	0	0	NO	NO						
IDX	APP	SERIAL	CD_CONCESSAO	int	4	10	0	NO	NO	IX_SERIAL_TENANT_AGENCIA	NONCLUSTERED	1	NO	NO	NO
IDX	APP	SERIAL	CD_AGENCIA	int	4	10	0	YES	NO	IX_SERIAL_TENANT_AGENCIA	NONCLUSTERED	2	NO	NO	NO
IDX	APP	SERIAL	CD_SERIAL	int	4	10	0	NO	NO	PK_APP_SERIAL	CLUSTERED	1	NO	YES	YES
COL	APP	SERIAL_HISTORICO	BL_AUTORIZADO	bit	1	1	0	NO	NO						
COL	APP	SERIAL_HISTORICO	CD_AGENCIA	nvarchar	32	0	0	YES	NO						
COL	APP	SERIAL_HISTORICO	CD_CONCESSAO	nvarchar	64	0	0	NO	NO						
