Objeto	Coluna	PK	FK	FKReferenceSource	FKReferenceFake
[APP].[CENTRO_CUSTO]	CD_CENTRO_CUSTO	True	False	NULL	000000
[APP].[CHECKLIST]	CD_CHECKLIST	True	False	NULL	000000
[APP].[CHECKLIST]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[CHECKLIST_SECAO_PERGUNTAS]	CD_SECAO_PERGUNTAS	True	False	NULL	000000
[APP].[CHECKLIST_SECAO_PERGUNTAS]	CD_CHECKLIST	False	False	NULL	000000
[APP].[CHECKLIST_SECAO_PERGUNTAS]	CD_PERGUNTA	False	False	NULL	000000
[APP].[CHECKLIST_SECAO_PERGUNTAS]	CD_SECAO	False	False	NULL	000000
[APP].[CHECKLIST_SECAO_PERGUNTAS]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[CHECKLIST_TIPO_RECURSO]	CD_CHECKLIST_TIPO_RECURSO	True	False	NULL	000000
[APP].[CHECKLIST_TIPO_RECURSO]	CD_CHECKLIST	False	False	NULL	000000
[APP].[CHECKLIST_TIPO_RECURSO]	CD_TIPO_RECURSO	False	False	NULL	000000
[APP].[FUNCAO]	CD_FUNCAO	True	False	NULL	000000
[APP].[FUNCIONARIO]	CD_FUNCIONARIO	True	False	NULL	000000
[APP].[FUNCIONARIO]	CD_CENTRO_CUSTO	False	False	NULL	000000
[APP].[FUNCIONARIO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[APP].[FUNCIONARIO]	CD_FUNCAO	False	False	NULL	000000
[APP].[FUNCIONARIO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[FUNCIONARIO_USUARIO]	CD_FUNCIONARIO	True	False	NULL	000000
[APP].[FUNCIONARIO_USUARIO]	CD_USUARIO	True	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[FUNCIONARIO_USUARIO]	CD_FUNCIONARIO_USUARIO	False	False	NULL	000000
[APP].[PERGUNTA]	CD_PERGUNTA	True	False	NULL	000000
[APP].[PERGUNTA]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[RESPOSTA]	CD_RESPOSTA	True	False	NULL	000000
[APP].[RESPOSTA]	CD_PERGUNTA	False	False	NULL	000000
[APP].[RESPOSTA]	CD_RESPOSTA_CHECKLIST	False	False	NULL	000000
[APP].[RESPOSTA]	CD_SECAO	False	False	NULL	000000
[APP].[RESPOSTA_CHECKLIST]	CD_RESPOSTA_CHECKLIST	True	False	NULL	000000
[APP].[RESPOSTA_CHECKLIST]	CD_CHECKLIST	False	False	NULL	000000
[APP].[RESPOSTA_CHECKLIST]	CD_RECURSO	False	False	NULL	000000
[APP].[RESPOSTA_CHECKLIST]	CD_RECURSO_ATIVIDADE	False	False	NULL	000000
[APP].[RESPOSTA_CHECKLIST]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[RESPOSTA_CHECKLIST]	CD_USUARIO_MANIPULADOR	False	False	NULL	000000
[APP].[SECAO]	CD_SECAO	True	False	NULL	000000
[APP].[SECAO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
[APP].[SERIAL]	CD_SERIAL	True	False	NULL	000000
[APP].[SERIAL]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[APP].[SERIAL]	CD_USUARIO_EXCLUSAO	False	False	NULL	000000
[APP].[SERIAL_RECURSO]	CD_SERIAL_RECURSO	True	False	NULL	000000
[APP].[SERIAL_RECURSO]	CD_RECURSO	False	False	NULL	000000
[APP].[SERIAL_RECURSO]	CD_SERIAL	False	False	NULL	000000
[APP].[SERIAL_RECURSO]	CD_USUARIO_CRIACAO	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_SOLICITACAO_RECURSO	True	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_BASE_OPERACIONAL	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_CONCESSAO	False	False	NULL	[dbo].[CONCESSAO].[CD_CONCESSAO]
[APP].[SOLICITACAO_RECURSO]	CD_FUNCIONARIO_2	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_FUNCIONARIO_3	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_FUNCIONARIO_MOTORISTA	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_RECURSO	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_RECURSO_ATIVIDADE	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_REDE	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_ROTA	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_TIPO_SOLICITACAO_RECURSO	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_TIPO_STATUS_SOLICITACAO	False	False	NULL	000000
[APP].[SOLICITACAO_RECURSO]	CD_USUARIO	False	False	NULL	[dbo].[USUARIO].[CD_USUARIO]
