TableSchema	TableName	ColumnName	Type	Length	Prec	Scale	Nullable	IsIdentity
APP	CENTRO_CUSTO	CD_CENTRO_CUSTO	smallint	2	5	0	NO	YES
APP	CENTRO_CUSTO	NOME	varchar	20	0	0	NO	NO
APP	CENTRO_CUSTO	DESCRICAO	varchar	100	0	0	NO	NO
APP	CENTRO_CUSTO	BL_STATUS	bit	1	1	0	NO	NO
APP	CENTRO_CUSTO	DH_TIMESTAMP	datetime	8	23	3	NO	NO
APP	CHECKLIST	CD_CHECKLIST	smallint	2	5	0	NO	YES
APP	CHECKLIST	NOME	varchar	100	0	0	NO	NO
APP	CHECKLIST	CD_USUARIO	int	4	10	0	YES	NO
APP	CHECKLIST	CD_STATUS	bit	1	1	0	YES	NO
APP	CHECKLIST	DH_TIMESTAMP	datetime	8	23	3	YES	NO
APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO_PERGUNTAS	smallint	2	5	0	NO	YES
APP	CHECKLIST_SECAO_PERGUNTAS	CD_CHECKLIST	smallint	2	5	0	NO	NO
APP	CHECKLIST_SECAO_PERGUNTAS	CD_SECAO	smallint	2	5	0	YES	NO
APP	CHECKLIST_SECAO_PERGUNTAS	CD_PERGUNTA	smallint	2	5	0	YES	NO
APP	CHECKLIST_SECAO_PERGUNTAS	ORDEM	tinyint	1	3	0	YES	NO
APP	CHECKLIST_SECAO_PERGUNTAS	CD_USUARIO	int	4	10	0	YES	NO
APP	CHECKLIST_SECAO_PERGUNTAS	CD_STATUS	bit	1	1	0	YES	NO
APP	CHECKLIST_SECAO_PERGUNTAS	DH_TIMESTAMP	datetime	8	23	3	YES	NO
APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST_TIPO_RECURSO	smallint	2	5	0	NO	YES
APP	CHECKLIST_TIPO_RECURSO	CD_CHECKLIST	smallint	2	5	0	NO	NO
APP	CHECKLIST_TIPO_RECURSO	CD_TIPO_RECURSO	int	4	10	0	YES	NO
APP	CHECKLIST_TIPO_RECURSO	DH_TIMESTAMP	datetime	8	23	3	YES	NO
APP	FUNCAO	CD_FUNCAO	smallint	2	5	0	NO	YES
